university,course,ucas_code,alevel_grades,ib_points_raw
University College London,Finnish And Hungarian,R6RH,ABB,34 points
University College London,Finnish And Italian,R6FI,AAB,36 points
University College London,Finnish And Norwegian,R6RN,ABB,34 points
University College London,Finnish And Polish,R6FP,ABB,34 points
University College London,Finnish And Portuguese,R6PF,ABB,34 points
University College London,Finnish And Romanian,R6FR,ABB,34 points
University College London,Finnish And Russian,R6NN,ABB,34 points
University College London,Finnish And Serbian/Croatian,R6CF,ABB,34 points
University College London,Finnish And Spanish,R6SI,AAB,36 points
University College London,Finnish And Swedish,R6R6,ABB,34 points
University College London,Finnish And Ukrainian,R6UF,ABB,34 points
University College London,Finnish And Yiddish,R6FY,ABB,34 points
University College London,French And English,R1Q3,AAA,38 points
University College London,French And German,R1R2,ABB,34 points
University College London,French And Hebrew,R1Q4,AAB,34 points
University College London,French And History Of Art,R1V3,ABB,34 points
University College London,French And Hungarian,R1RH,AAB,36 points
University College London,French And Italian,R1R3,ABB,34 points
University College London,French And Latin,R1Q6,AAB,36 points
University College London,French And Norwegian,R1RN,ABB,34 points
University College London,French And Philosophy,R1V5,AAA,38 points
University College London,French And Polish,R1RP,AAB,36 points
University College London,French And Portuguese,R1R5,ABB,34 points
University College London,French And Romanian,R1RO,AAB,36 points
University College London,French And Russian,R1RU,AAB,36 points
University College London,French And Serbian/Croatian,R1R7,AAB,36 points
University College London,French And Spanish,R1R4,AAB,36 points
University College London,French And Swedish,R1R6,ABB,34 points
University College London,French And Ukrainian,R1UK,AAB,36 points
University College London,French And Yiddish,R1R9,AAB,36 points
University College London,French With Film Studies,R1P3,ABB,34 points
University College London,French With Management Studies,R1N2,AAB,36 points
University College London,Geography And Economics,LL17,A*AA,39 points
University College London,German And English,R2Q3,AAA,38 points
University College London,German And Hebrew,R2Q4,ABB,34 points
University College London,German And History Of Art,R2V3,ABB,34 points
University College London,German And Hungarian,R2RH,AAB,36 points
University College London,German And Italian,R2R3,ABB,34 points
University College London,German And Jewish Studies,R2V6,ABB,34 points
University College London,German And Latin,R2Q6,ABB,34 points
University College London,German And Norwegian,R2RN,ABB,34 points
University College London,German And Philosophy,R2V5,AAB,36 points
University College London,German And Polish,R2RP,ABB,34 points
University College London,German And Portuguese,R2R5,ABB,34 points
University College London,German And Romanian,R2RO,ABB,34 points
University College London,German And Russian,R2RU,ABB,34 points
University College London,German And Serbian/Croatian,R2R7,ABB,34 points
University College London,German And Spanish,R2R4,ABB,34 points
University College London,German And Swedish,R2R6,ABB,34 points
University College London,German And Ukrainian,R2UK,ABB,34 points
University College London,German And Yiddish,R2R9,ABB,34 points
University College London,German With Film Studies,R2P3,ABB,34 points
University College London,German With Management Studies,R2N2,AAB,36 points
